reference_model,model,n_shared,mean_delta_log_loss,median_delta_log_loss,log_loss_win_rate,mean_delta_brier,median_delta_brier,brier_win_rate,mean_abs_posterior_diff,median_abs_posterior_diff,decision_disagreement_rate
base,market_final,1000,-6.787878478150993,-1.8505074113441071,0.726,-0.5190251269503683,-0.7106260917361658,0.726,0.5509530296583114,0.8419840876320648,0.556
base,market_pre_final,1000,-6.787521585106187,-1.8444787330521706,0.726,-0.5190175895610157,-0.7105690917361658,0.726,0.5508578847928934,0.8378651254822047,0.556
base,log_ar_volume,1000,5.371206895613797,0.0,0.449,-0.02117228240297917,0.0,0.449,0.47301938161646134,0.30717927786702726,0.475
base,reversal_momentum_burst,1000,5.80195277470242,0.0,0.449,-0.0261760885275352,0.0,0.449,0.49555728804436616,0.4709480506371182,0.496
base,reversal,1000,5.950050556783703,0.0,0.427,0.0030276149500453025,0.0,0.427,0.4853259619577445,0.3886451293973895,0.492
base,reversal_burst,1000,6.512396565794829,0.0,0.436,-0.007455276973164236,0.0,0.436,0.515237109989322,0.6189169127076409,0.522
base,rw_volume,1000,7.614835803225355,0.0,0.411,0.003224053061765824,0.0,0.411,0.4947916962205858,0.4513951297638612,0.495
