model,n_traces,mean_trace_length,mean_abs_step_change,median_abs_step_change,mean_max_abs_step_change,median_max_abs_step_change,mean_decision_flip_count_05,mean_fraction_time_confidence_90,mean_fraction_time_confidence_95
base,1000,500.0,0.006374169927824196,0.00482597389210975,0.4563449947810537,0.4278314497829351,3.565,0.6382899999999999,0.568836
log_ar_volume,1000,500.0,0.005569086921421715,0.004347709892833257,0.7188727619365174,0.8171147138547635,3.173,0.9141600000000001,0.8983199999999999
reversal,1000,500.0,0.005904185811445103,0.004614961854516816,0.7349992864167618,0.8476867107735935,3.354,0.908964,0.8921859999999999
reversal_burst,1000,500.0,0.005586454696702071,0.0035332063912925597,0.553427843552083,0.5138491518700843,3.032,0.9634380000000001,0.956518
reversal_momentum_burst,1000,500.0,0.004955086484175279,0.003476567597545445,0.5105184414057211,0.47798963864807803,2.739,0.9606659999999999,0.952864
rw_volume,1000,500.0,0.002913157200192615,0.002965834164881644,0.7499735748771297,0.9763851726616191,1.559,0.9844120000000001,0.982208
