model,n_success,n_error,mean_log_loss,median_log_loss,p90_log_loss,mean_brier,median_brier,accuracy_05,mean_p_truth,median_p_truth,mean_confidence,median_confidence,overconfident_wrong_rate_90,overconfident_wrong_rate_80,ece,mean_information_gain,mean_elapsed_s,mean_smc_resample_count_proxy,mean_min_ess
market_final,1000,0,0.0011900516580119354,0.0010005003335835344,0.0010005003335835344,1.1561498661207341e-05,1.0000000000000019e-06,1.0,0.9988160915135186,0.999,0.9976321830270364,0.998,0.0,0.0,0.001183908486481708,nan,nan,nan,nan
market_pre_final,1000,0,0.001546944702817497,0.0010005003335835344,0.0020020026706730793,1.9098888013792347e-05,1.0000000000000019e-06,1.0,0.9984630403427475,0.999,0.9969260806854949,0.998,0.0,0.0,0.0015369596572524817,nan,nan,nan,nan
base,1000,0,6.789068529809005,1.8515079116776905,27.631021115928547,0.5190366884490295,0.7106270917361657,0.444,0.4484177359700018,0.15701591236793527,0.9109723701020749,0.9996739780259343,0.444,0.481,0.522243102260315,0.5854284448288549,10.62042692147725,52.551,20.247555295683092
log_ar_volume,1000,0,12.1602754254228,1.4827523876285627,27.63104323789336,0.49786440604605026,0.5973895128279395,0.497,0.49706833328292443,0.22712277285234883,0.9866347728595024,0.999999999998,0.483,0.49,0.5004922649692413,0.6762844155151349,28.8922265833836,159.715,3.4761043849370257
reversal_momentum_burst,1000,0,12.591021304511422,0.03898954470328289,27.63104323789336,0.4928605999214943,0.0015152183477019552,0.506,0.5055173138360126,0.9617894469606949,0.9955058613908145,0.999999999998,0.492,0.492,0.4940160587234718,0.6875929882657306,18.41494647491988,107.178,10.646476732751296
reversal,1000,0,12.739119086592705,4.333249942406031,27.63104323789336,0.5220643033990748,0.9738039170109458,0.472,0.4712620676570062,0.013185775683106526,0.9815273849849486,0.999999999998,0.511,0.516,0.5232965034442576,0.6712798772563806,29.303153598509844,159.831,3.3208581867451774
reversal_burst,1000,0,13.301465095603833,5.776552676635056,27.63104323789336,0.5115814114758652,0.9937915373344188,0.486,0.485966833614515,0.0031090947196668606,0.993705354150638,0.999999999998,0.506,0.508,0.5119708054624249,0.685026597706455,17.346287975289176,102.916,10.8874106576468
rw_volume,1000,0,14.403904333034356,27.631021115928547,27.63104323789336,0.5222607415107953,0.999999999998,0.477,0.47739083897361334,1e-12,0.9987790388858548,0.999999999998,0.522,0.522,0.5226091610254346,0.6921024014384441,37.5647032870511,210.601,1.0468880362357966
